id;nro_factura;fecha;subtotal;gasto_de_envio;impuesto;total;estado_compra
1;navigate hard drive Intranet;2019-11-29;18447;56554;36223;97964;PEDIDO_RECIBIDO
2;Indiana Denar Paradigm;2019-11-28;94067;5613;25929;85272;PEDIDO_REALIZADO
3;Squares;2019-11-29;45818;93735;48296;70601;PEDIDO_REALIZADO
4;Central District 1080p;2019-11-29;76551;5728;15890;22522;PEDIDO_RECIBIDO
5;Ville Movies;2019-11-29;5705;4459;28218;3628;PEDIDO_REALIZADO
6;open-source Engineer unleash;2019-11-29;44973;84478;77671;26813;PEDIDO_RECIBIDO
7;Ergonomic Rubber Salad;2019-11-29;13924;34592;53242;31518;PEDIDO_REALIZADO
8;alarm;2019-11-29;96339;12798;56016;88213;PEDIDO_RECIBIDO
9;Cambridgeshire Engineer Metal;2019-11-28;19809;19119;56533;33826;PEDIDO_RECIBIDO
10;Computer Games;2019-11-28;22531;41798;25096;8884;PEDIDO_REALIZADO
