id;unidad;codigo_referencia;stock;precio_unitario;precio_total;tipo
1;LITRO;Checking Account Multi-channelled;84691;48469;42863;CLARIFICANTE
2;LITRO;generate actuating;78697;51250;11193;ACIDO
3;UNIDAD;Gibraltar;75842;75675;75410;CLARIFICANTE
4;CM3;input Alaska Bahamas;9415;46393;34366;LEVADURA
5;KILOGRAMO;web services teal sky blue;9403;28713;35667;CLARIFICANTE
6;LITRO;Ridge;55782;79326;16603;LEVADURA
7;CM3;Electronics;36369;89398;73263;SAL
8;GRAMO;firewall toolset Administrator;48535;98411;12243;OTROS
9;ML;Sleek Clothing;82295;89025;20975;OTROS
10;VEINTICINCO_KILOS;Global Handmade copy;98806;47116;90129;SAL
