id;nombre_equipamiento;tipo_equipamiento;precio;costo_envio;fecha_compra;imagen;imagen_content_type
1;Uganda Shilling Cotton;TRASVASE;25252;16704;2019-11-29;../fake-data/blob/hipster.png;image/png
2;integrate;CANILLA;78179;84417;2019-11-28;../fake-data/blob/hipster.png;image/png
3;Passage SCSI Hawaii;MEDICION;12297;53116;2019-11-29;../fake-data/blob/hipster.png;image/png
4;Small Metal Computer Multi-channelled Sausages;MACERACION;58467;4157;2019-11-28;../fake-data/blob/hipster.png;image/png
5;recontextualize;FILTRADO;32313;63911;2019-11-28;../fake-data/blob/hipster.png;image/png
6;Minnesota Open-architected Lebanon;MEDICION;13271;30792;2019-11-29;../fake-data/blob/hipster.png;image/png
7;Implementation feed Chips;TRASVASE;15616;44375;2019-11-29;../fake-data/blob/hipster.png;image/png
8;Officer Quality-focused invoice;HERVIDO;83087;86890;2019-11-28;../fake-data/blob/hipster.png;image/png
9;back up Frozen;TRASVASE;82683;39386;2019-11-28;../fake-data/blob/hipster.png;image/png
10;Colorado world-class;MEDICION;31811;97717;2019-11-28;../fake-data/blob/hipster.png;image/png
