id;nombre_evento;fecha_evento;cantidad_barriles;precio_pinta
1;Louisiana payment Mayotte;2019-11-28;26703;73390
2;Seychelles SMTP Synchronised;2019-11-29;86729;16040
3;next-generation Quality-focused Quality;2019-11-29;61861;69899
4;purple SCSI Accountability;2019-11-29;2925;87907
5;Music copying Reduced;2019-11-28;16076;112
6;Tennessee generate Adaptive;2019-11-29;28704;8409
7;website New York;2019-11-29;25981;37669
8;Beauty synthesizing;2019-11-29;10698;28334
9;Beauty web services copying;2019-11-29;63262;17949
10;bypass solid state Chicken;2019-11-28;6784;94729
