id;nombre_insumo;marca;stock;unidad;tipo;imagen;imagen_content_type;precio_unitario;precio_total
1;deposit Canadian Dollar Lebanon;Designer Persistent;67213;VEINTICINCO_KILOS;LEVADURA;../fake-data/blob/hipster.png;image/png;47030;63230
2;withdrawal Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;85835;ML;MALTA;../fake-data/blob/hipster.png;image/png;17436;94052
3;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;87733;LITRO;MALTA;../fake-data/blob/hipster.png;image/png;96541;89721
4;Human deposit;even-keeled Saint Helena Pound;84666;UNIDAD;SAL;../fake-data/blob/hipster.png;image/png;89855;66898
5;Alabama transform;invoice Home Gloves;54873;VEINTICINCO_KILOS;LUPULO;../fake-data/blob/hipster.png;image/png;49389;32539
6;navigate;program alarm;30806;CM3;CLARIFICANTE;../fake-data/blob/hipster.png;image/png;97301;97889
7;Cambridgeshire Investor;cross-platform Borders;57690;VEINTICINCO_KILOS;LUPULO;../fake-data/blob/hipster.png;image/png;99455;94045
8;Response Human;back up Factors;33075;SOBRE_11G;LUPULO;../fake-data/blob/hipster.png;image/png;31692;48527
9;mesh;Configuration UIC-Franc;57006;CM3;OTROS;../fake-data/blob/hipster.png;image/png;32255;74076
10;Belize Dollar Sudanese Pound real-time;protocol;41978;KILOGRAMO;MALTA;../fake-data/blob/hipster.png;image/png;70196;39678
