id;codigo;fecha_coccion;coccion;descripcion;descuenta_stock;estado;litros_estimados;litros_en_tanque;litros_envasados;litros_disponible
1;methodical Shoal Analyst;2019-11-29;63410;Unbranded Concrete Chair vertical;false; ENVASADO;45046;33134;47297;48204
2;turquoise Investment Account;2019-11-29;47428;Montana;true;EN_PROCESO;21906;83331;3672;84392
3;encompassing;2019-11-29;80258;Hawaii Berkshire;false;FINALIZADO;81668;8709;28456;61706
4;Granite visionary Borders;2019-11-28;2966;Seychelles Rupee Tasty Cotton Keyboard;true;FINALIZADO;42182;72986;41102;88225
5;Swedish Krona Phased Guyana Dollar;2019-11-29;82379;Usability calculating Sports;true;EN_PROCESO;4055;60379;87159;68658
6;Metal;2019-11-29;80035;withdrawal Rustic;true;FINALIZADO;8018;32108;35477;74985
7;bandwidth payment withdrawal;2019-11-28;59366;Beauty deposit;true;MADURACION;17184;72397;63787;12055
8;Global Refined Granite Chips Fresh;2019-11-29;69488;France Meadow;false;MADURACION;55864;21605;34316;46660
9;quantifying Refined Cotton Chicken navigating;2019-11-29;67296;interactive;false;MADURACION;45012;85756;57926;91663
10;partnerships success Alabama;2019-11-29;37005;Clothing visualize;true;FERMENTACION;14259;4477;89009;76190
