id;dia;tipo_medicion;estado;fecha_realizado;valor;observacion
1;4818;TEMPERATURA;Cambridgeshire vortals;2019-11-29T03:49:40;11097;withdrawal
2;77078;DENSIDAD;Somalia applications;2019-11-28T21:32:28;21199;invoice Row
3;88015;TEMPERATURA;fault-tolerant;2019-11-29T11:32:03;93080;Soft card
4;97459;TEMPERATURA;Gorgeous Fantastic Metal Car bypassing;2019-11-28T20:02:40;51586;attitude-oriented calculating
5;1469;DENSIDAD;Clothing Frozen web-readiness;2019-11-29T02:59:02;73620;internet solution Investor
6;26667;TEMPERATURA;Sleek Cotton Chicken copy Springs;2019-11-29T08:23:55;77292;Bulgaria
7;97601;TEMPERATURA;Wooden global;2019-11-29T14:23:29;33209;integrated
8;73902;TEMPERATURA;Iowa;2019-11-28T22:54:02;64645;Facilitator quantifying
9;2359;TEMPERATURA;Falls;2019-11-29T05:15:38;15232;Senior
10;71013;TEMPERATURA;Shoals Sleek Metal Car;2019-11-29T00:50:23;95778;Integration haptic Technician
