id;tipo_movimiento;fecha_movimiento;precio_total;numero_movimiento;estado;litros_totales
1;PRESUPUESTO;2019-11-29;14001;tertiary;INACTIVO;25073
2;VENTA;2019-11-28;83810;seize generate;ACTIVO;9033
3;PRESUPUESTO;2019-11-29;91551;card Home Loan Account Applications;ENTREGADO;48375
4;VENTA;2019-11-29;16201;backing up indexing;ACTIVO;34438
5;PRESUPUESTO;2019-11-29;70492;Investment Account Forge Licensed;ENTREGADO;96769
6;PRESUPUESTO;2019-11-29;31459;solid state;ACTIVO;8670
7;VENTA;2019-11-28;75903;feed invoice;ENTREGADO;5159
8;VENTA;2019-11-29;47321;algorithm Metal card;ENTREGADO;42176
9;VENTA;2019-11-28;64454;payment;ACTIVO;88499
10;VENTA;2019-11-29;80397;Senegal withdrawal;ACTIVO;41750
