id;tipo_presentacion;cantidad;fecha;costo_unitario;precio_venta_unitario;precio_venta_total;precio_costo_total
1;BOTELLA_500;53258;2019-11-29;5182;36923;33660;45426
2;BOTELLA_1000;98996;2019-11-29;32235;68457;80987;8786
3;BOTELLA_330;76022;2019-11-29;59563;47316;47157;60610
4;BARRIL_30;83061;2019-11-28;96502;40851;12429;93293
5;BARRIL_50;74112;2019-11-28;57447;4809;84182;78151
6;BARRIL_30;20162;2019-11-28;16365;82513;16426;18640
7;BOTELLA_500;87720;2019-11-29;39244;68298;81659;45194
8;BOTELLA_1000;30137;2019-11-29;74760;43874;50272;57748
9;BOTELLA_750;38389;2019-11-29;54355;6661;90647;22902
10;BOTELLA_500;62770;2019-11-28;33490;69371;13927;16673
