id;descripcion;tipo;nombre_comercial;tipo_producto;imagen;imagen_content_type;observacion;srm_color
1;Unbranded Fresh Pants Tools California;ALE;Wallis and Futuna;ESPECIAL;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Assimilated
2;compressing;LAGER;composite Orchestrator Club;ESPECIAL;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Strategist
3;card Licensed Cotton Ball;ALE;Brand;ROTATIVO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Optimized
4;microchip;LAGER;payment e-markets system;ROTATIVO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;hack
5;leading-edge;LAGER;Colombian Peso Unidad de Valor Real Bridge Handmade;ROTATIVO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;withdrawal Generic Frozen Tuna
6;Gorgeous Cotton Chair Personal Loan Account Borders;LAGER;Solutions COM;ROTATIVO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;deposit Station
7;parsing Investment Account;ALE;Fantastic;ROTATIVO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;withdrawal
8;quantifying Garden;ALE;Accountability Handmade Cotton Bacon;ESPECIAL;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Producer infrastructures
9;Robust Louisiana;LAGER;compress Fantastic Global;FIJO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Fantastic Small Frozen Salad bypassing
10;time-frame Quality;ALE;Money Market Account;ESPECIAL;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;back-end Unbranded Cambridgeshire
