id;nombre;brew_master;batch;temperatura_de_macerado;og;fg;abv;ibu;srm;empaste;fecha
1;white Principal;Avon neural;55022;37350;4341;52649;63315;11230;95140;258;2019-11-29
2;connecting HDD;digital;64660;61098;17477;41102;36077;83986;90589;90002;2019-11-28
3;Idaho Seamless;object-oriented;82261;85117;42373;67142;66754;80952;9553;76665;2019-11-28
4;Landing;Mouse Re-engineered;86925;86279;47289;21673;53535;9571;17844;2363;2019-11-29
5;Phased sky blue;Exclusive benchmark;59447;5845;49676;14177;98778;27454;13643;59704;2019-11-28
6;deploy content monitor;Industrial innovative bypassing;60321;72433;33722;57838;90552;27416;77262;7941;2019-11-29
7;invoice;maroon framework;22665;34356;35499;61715;6942;44240;51905;83186;2019-11-29
8;primary Profit-focused Ethiopia;Credit Card Account Pataca Function-based;45685;33300;19032;66948;5233;99413;37847;66183;2019-11-29
9;Producer Lodge;Awesome Rubber Computer Usability;17530;63496;69000;75483;20093;17047;53582;40947;2019-11-29
10;Stravenue back up;moratorium Consultant;47488;92717;38252;23464;11982;39931;97416;15241;2019-11-29
