id;tipo_insumo;cantidad;color;porcentaje;uso_malta;alpha;modo_lupulo;gramos;uso_lupulo;tiempo;ibu;densidad_leva;tam_sobre;atenuacion;tipo_otro;uso_otro;tiempo_otro
1;SAL;52095;5;62;FERMENTATION;87;PLUG;78202;BOIL;14;30312;22735;26311;34167;WATER_AGENT;MASH;44720
2;ACIDO;57458;40;57;BOIL;82;WHOLE_LEAF;72142;FIRST_WORT;48;2289;17352;15379;69495;OTHER;BOIL;47935
3;OTROS;76480;34;17;RECIRCULATING;83;PELLET;6817;MASH;9;54952;77672;96582;12203;OTHER;BOIL;21603
4;SAL;36479;7;39;MASH;46;PELLET;61949;BOIL;14;78269;30327;26538;10104;FINING;SECONDARY;23264
5;SAL;52704;35;43;MASH;35;PELLET;73361;DRY_HOP;16;48134;41858;1919;79033;FLAVOR;PRIMARY;21520
6;LUPULO;62929;40;20;BOIL;45;PLUG;12719;FIRST_WORT;89;65171;47601;81068;37588;FLAVOR;MASH;94283
7;OTROS;3842;11;91;FERMENTATION;45;PLUG;51840;AROMA;5;4167;3802;8479;74620;FINING;SECONDARY;34970
8;LUPULO;41213;5;55;MASH;8;WHOLE_LEAF;22784;BOIL;14;25541;61501;26071;77463;HERB;MASH;47433
9;ACIDO;81176;26;66;RECIRCULATING;11;PLUG;43940;FIRST_WORT;112;12150;67598;19747;49604;WATER_AGENT;PRIMARY;75504
10;CLARIFICANTE;74819;30;56;RECIRCULATING;94;WHOLE_LEAF;9187;FIRST_WORT;88;41341;54223;75818;59034;FLAVOR;PRIMARY;87713
