id;nombre;litros;tipo;estado;listros_disponible;fecha_ingreso
1;Marketing value-added;51723;FERMENTADOR;EN_USO;31121;2019-11-29
2;generating Guinea overriding;58022;BARRICA;EN_USO;96401;2019-11-29
3;Small red;92563;FERMENTADOR;EN_USO;11613;2019-11-29
4;envisioneer Tunnel e-markets;99485;UNITANK_INOX;EN_USO;54140;2019-11-28
5;Oval;53225;BARRICA;EN_USO;19462;2019-11-29
6;Berkshire;67738;BARRICA;EN_USO;13919;2019-11-28
7;Tuna indexing;20730;FERMENTADOR;VACIO;20131;2019-11-28
8;Steel RSS;71088;MADURADOR;VACIO;13065;2019-11-28
9;British Indian Ocean Territory (Chagos Archipelago) Licensed Metal Ball Trail;3446;UNITANK_INOX;VACIO;37532;2019-11-29
10;Cook Islands;56271;FERMENTADOR;VACIO;40758;2019-11-29
